,title,date,author,level,length,icon
80,API Testing an Application with Karate,Aug 8 2023,by Nertil Poci,Intermediate,2h 16m,https://pluralsight.imgix.net/course-images/karate-api-testing-application-v1.jpg?w=120
81,Interaction Design: The Big Picture,Aug 7 2023,by Amber Israelsen,Beginner,1h 12m,https://pluralsight.imgix.net/course-images/interaction-design-big-picture-v1.jpg?w=120
82,Quantum Computing Fundamentals,Aug 7 2023,by Kevin James,Beginner,1h 48m,https://pluralsight.imgix.net/course-images/quantum-computing-fundamentals-v1.png?w=120
83,Getting Started with NumPy,Aug 7 2023,by Pluralsight,Beginner,54m,https://pluralsight.imgix.net/course-images/numpy-getting-started-v1.jpg?w=120
84,MySQL Administration,Aug 7 2023,by Pinal Dave,Beginner,2h 1m,https://pluralsight.imgix.net/course-images/mysql-administration-v1.jpg?w=120
85,File Analysis with CyberChef,Aug 4 2023,by Owen Dubiel,Intermediate,28m,https://pluralsight.imgix.net/course-images/cyberchef-file-analysis-v1.png?w=120
86,Exploring Generative AI Models and Architecture,Aug 3 2023,by Naveed Tauhid,Intermediate,48m,https://pluralsight.imgix.net/course-images/exploring-generative-ai-model-architecture-v1.jpg?w=120
87,Security Risks and Privacy Concerns Using Generative AI,Aug 2 2023,by Shaila Rana,Intermediate,24m,https://pluralsight.imgix.net/course-images/gen-ai-sec-risks-privacy-concerns-v1.jpg?w=120
88,Apple Device Support: App Management,Jul 29 2023,by Rachel Gillett,Intermediate,1h 25m,https://pluralsight.imgix.net/course-images/apple-device-support-app-management-cert-v1.jpg?w=120
89,Networking in Google Cloud: Hybrid Connectivity and Network Management,Jul 28 2023,by Google Cloud,Beginner,1h 56m,https://pluralsight.imgix.net/course-images/networking-google-cloud-hybrid-connectivity-network-management-10-v1.png?w=120
90,"Windows Endpoint Administration: Manage, Maintain, and Protect Devices",Jul 28 2023,by Glenn Weadock,Intermediate,3h 52m,https://pluralsight.imgix.net/course-images/windows-endpoint-administration-manage-maintain-protect-devices-cert-v1.jpg?w=120
91,Google Drive,Jul 28 2023,by Google Cloud,Beginner,43m,https://pluralsight.imgix.net/course-images/google-drive-2-v1.png?w=120
92,Designing and Implementing Active Directory and Entra ID,Jul 28 2023,by Neil Morrissey,Intermediate,4h 28m,https://pluralsight.imgix.net/course-images/azure-active-directory-designing-implementing-v1.jpg?w=120
93,Google Sheets - Advanced Topics,Jul 28 2023,by Google Cloud,Beginner,49m,https://pluralsight.imgix.net/course-images/google-sheets-advanced-topics-v1.png?w=120
94,Usage Monitoring and Auditing as a Power BI Admin,Jul 28 2023,by Ben Howard,Intermediate,49m,https://pluralsight.imgix.net/course-images/power-bi-admin-usage-monitoring-auditing-v1.jpg?w=120
95,vSphere 8: Managing vSphere Resources,Jul 28 2023,by David Davis,Intermediate,2h 25m,https://pluralsight.imgix.net/course-images/vsphere-8-managing-resources-v1.jpg?w=120
96,MOVEit Vulnerability: What You Should Know,Jul 28 2023,by Brandon DeVault,Beginner,17m,https://pluralsight.imgix.net/course-images/moveit-vul-wysk-v1.png?w=120
97,What's New In RHEL 9,Jul 28 2023,by Andrew Mallett,Beginner,1h 48m,https://pluralsight.imgix.net/course-images/rhel-9-whats-new-cert-v1.jpg?w=120
98,Automating Service Provider Networks with Model-driven Programmability,Jul 28 2023,by Nick Russo,Advanced,1h 57m,https://pluralsight.imgix.net/course-images/service-provider-networks-model-driven-programmability-automating-cert-v2.png?w=120
99,Information and Cyber Security GRC: Compliance with External Factors,Jul 28 2023,by Dr. Lyron H. Andrews,Beginner,1h 19m,https://pluralsight.imgix.net/course-images/compliance-external-factors-security-grc-v1.jpg?w=120
100,Implementing and Managing OWASP ZAP for DevSecOps,Jul 28 2023,by Mike Woolard,Intermediate,1h 18m,https://pluralsight.imgix.net/course-images/owasp-zap-devsecops-implementing-managing-v1.jpg?w=120
101,Google Sheets,Jul 28 2023,by Google Cloud,Beginner,50m,https://pluralsight.imgix.net/course-images/google-sheets-2-v1.png?w=120
102,Building an HTTP Application with Ktor,Jul 27 2023,by Kevin Jones,Intermediate,3h 39m,https://pluralsight.imgix.net/course-images/building-http-application-ktor-v1.jpg?w=120
103,Creating Graphics with Canvas and SVG,Jul 27 2023,by Mike Van Sickle,Intermediate,1h 47m,https://pluralsight.imgix.net/course-images/canvas-svg-creating-graphics-v1.jpg?w=120
104,"Information and Cyber Security Governance, Risk and Compliance (GRC)",Jul 27 2023,by John Elliott,Beginner,1h 56m,https://pluralsight.imgix.net/course-images/governance-risk-compliance-information-cyber-security-v1.jpg?w=120
105,Gmail,Jul 26 2023,by Google Cloud,Beginner,58m,https://pluralsight.imgix.net/course-images/gmail-2-v1.png?w=120
106,Networking in Google Cloud: Defining and Implementing Networks,Jul 26 2023,by Google Cloud,Beginner,1h 38m,https://pluralsight.imgix.net/course-images/networking-google-cloud-defining-implementing-networks-10-v1.png?w=120
107,Google Calendar,Jul 26 2023,by Google Cloud,Beginner,42m,https://pluralsight.imgix.net/course-images/google-calendar-2-v1.png?w=120
108,The Data Sessions: Future Directions in Prompt Engineering,Jul 26 2023,by Mohamed Echout,Beginner,30m,https://pluralsight.imgix.net/course-images/data-sessions-future-directions-prompt-engineering-v1.png?w=120
109,Google Meet,Jul 26 2023,by Google Cloud,Beginner,41m,https://pluralsight.imgix.net/course-images/google-meet-1-v1.png?w=120
110,Building a Web Application with JavaScript,Jul 26 2023,by Steve Buchanan,Intermediate,1h 53m,https://pluralsight.imgix.net/course-images/javascript-building-web-application-v1.jpg?w=120
111,Google Chat,Jul 26 2023,by Google Cloud,Beginner,47m,https://pluralsight.imgix.net/course-images/google-chat-1-v1.png?w=120
112,Google Calendar,Jul 26 2023,by Google Cloud,Beginner,42m,https://pluralsight.imgix.net/course-images/google-calendar-2-v1.png?w=120
113,Exploratory Data Analysis Techniques in Python,Jul 26 2023,by Abdul Rehman Yousaf,Intermediate,2h 8m,https://pluralsight.imgix.net/course-images/python-exploratory-data-analysis-techniques-v1.jpg?w=120
114,Approaches to Requirement Analysis for Efficient Data Storage and Processing,Jul 24 2023,by Dayo Bamikole,Intermediate,34m,https://pluralsight.imgix.net/course-images/data-storage-processing-approaches-requirement-analysis-v1.jpg?w=120
115,Building a Data-driven ASP.NET Core 6 Application with EF Core,Jul 24 2023,by Gill Cleeren,Beginner,3h 15m,https://pluralsight.imgix.net/course-images/asp-dot-net-core-6-ef-core-building-data-driven-application-v1.png?w=120
116,"Logging, Monitoring and Observability in Google Cloud",Jul 21 2023,by Google Cloud,Beginner,4h 33m,https://pluralsight.imgix.net/course-images/logging-monitoring-observability-google-cloud-4-v1.png?w=120
117,Google Cloud Fundamentals: Core Infrastructure,Jul 20 2023,by Google Cloud,Beginner,2h 23m,https://pluralsight.imgix.net/course-images/google-cloud-fundamentals-core-infrastructure-5-v1.png?w=120
118,Secure Coding with OWASP in Go,Jul 20 2023,by Paul Mooney,Intermediate,4h 17m,https://pluralsight.imgix.net/course-images/go-secure-coding-owasp-v1.jpg?w=120
119,BDD with Cucumber and Java,Jul 20 2023,by Pinal Dave,Intermediate,2h 11m,https://pluralsight.imgix.net/course-images/bdd-cucumber-java-v1.jpg?w=120
120,Spring Boot 3 Fundamentals,Jul 20 2023,by Jesper de Jong,Beginner,2h 35m,https://pluralsight.imgix.net/course-images/spring-boot-3-fundamentals-v1.jpg?w=120
121,Using Git with a GUI,Jul 20 2023,by Xavier Morera,Intermediate,2h 54m,https://pluralsight.imgix.net/course-images/git-using-gui-v1.jpg?w=120
