,title,date,author,level,length,icon
584,Putting Windows PowerShell to Work,Mar 9 2023,by Jeff Hicks,Beginner,3h 38m,https://pluralsight.imgix.net/course-images/windows-powershell-work-putting-v1.jpg?w=120
585,Microsoft Purview: Introduction and Getting Started,Mar 9 2023,by Liam Cleary,Beginner,55m,https://pluralsight.imgix.net/course-images/microsoft-purview-introduction-getting-started-v1.jpg?w=120
586,CCT Routing and Switching: Networking Foundations,Mar 9 2023,by Matt Conran,Beginner,3h 3m,https://pluralsight.imgix.net/course-images/cct-routing-switching-networking-foundations-cert-2023-v1.jpg?w=120
587,Scripting for Security with Bash,Mar 9 2023,by Pluralsight,Intermediate,1h 7m,https://pluralsight.imgix.net/course-images/bash-security-scripting-v1.jpg?w=120
588,Scripting for Security with Bash,Mar 9 2023,by Keith Watson,Intermediate,1h 7m,https://pluralsight.imgix.net/course-images/bash-security-scripting-v1.jpg?w=120
589,PowerShell: Getting Started,Mar 9 2023,by Michael Bender,Beginner,2h 10m,https://pluralsight.imgix.net/course-images/powershell-getting-started-2022-v1.jpg?w=120
590,The Windows PowerShell Language,Mar 9 2023,by Jeff Hicks,Beginner,3h 8m,https://pluralsight.imgix.net/course-images/windows-powershell-language-v1.jpg?w=120
591,Kubernetes for Developers: Core Concepts,Mar 8 2023,by Dan Wahlin,Beginner,4h 38m,https://pluralsight.imgix.net/course-images/kubernetes-developers-core-concepts-v1.png?w=120
592,Getting Help with Windows PowerShell,Mar 8 2023,by Jeff Hicks,Intermediate,1h 4m,https://pluralsight.imgix.net/course-images/windows-powershell-getting-help-v1.jpg?w=120
593,Key Concepts Data Flow,Mar 8 2023,by Justin Boyer,Beginner,36m,https://pluralsight.imgix.net/course-images/key-concepts-data-flow-v1.jpg?w=120
594,The IT Ops Sessions: Improving PowerShell Scripting and Operations with ChatGPT,Mar 7 2023,by Lars Klint,Intermediate,30m,https://pluralsight.imgix.net/course-images/powershell-scripting-operations-chatgpt-improving-it-ops-sessions-v1.png?w=120
595,Live Response and Forensics with PowerShell,Mar 7 2023,by Liam Cleary,Intermediate,2h 51m,https://pluralsight.imgix.net/course-images/powershell-live-response-forensics-v1.jpg?w=120
596,Live Response and Forensics with PowerShell,Mar 7 2023,by Pluralsight,Intermediate,2h 51m,https://pluralsight.imgix.net/course-images/powershell-live-response-forensics-v1.jpg?w=120
597,Accessing APIs Using HttpClient in .NET 6,Mar 7 2023,by Kevin Dockx,Intermediate,4h 2m,https://pluralsight.imgix.net/course-images/dot-net-6-httpclient-using-accessing-apis-v1.jpg?w=120
598,Managing macOS File Systems and Storage,Mar 6 2023,by Herta Nava,Intermediate,2h 19m,https://pluralsight.imgix.net/course-images/managing-macos-file-systems-storage-v1.jpg?w=120
599,Introduction to Google Workspace Administration,Mar 6 2023,by Google Cloud,Beginner,26m,https://pluralsight.imgix.net/course-images/introduction-google-workspace-administration-1-v1.png?w=120
600,Exploitation with PowerShell,Mar 6 2023,by William Hardy,Intermediate,1h 36m,https://pluralsight.imgix.net/course-images/powershell-exploitation-v1.jpg?w=120
601,Create Model Calculations by Using DAX,Mar 6 2023,by Brent Allen,Intermediate,1h 13m,https://pluralsight.imgix.net/course-images/create-model-calculations-using-dax-v1.jpg?w=120
602,Azure Virtual Desktop: Plan and Implement User Environments and Apps,Mar 3 2023,by Ned Bellavance,Intermediate,2h 6m,https://pluralsight.imgix.net/course-images/azure-virtual-desktop-plan-implement-user-environments-apps-cert-v1.jpg?w=120
603,"Threat Hunting: Review, Automate, and Improve",Mar 3 2023,by Brandon DeVault,Intermediate,1h 36m,https://pluralsight.imgix.net/course-images/threat-hunting-review-automate-improve-v1.png?w=120
604,Spring Cloud Config 3 Fundamentals,Mar 3 2023,by Andrew Morgan,Intermediate,2h 31m,https://pluralsight.imgix.net/course-images/spring-cloud-config-3-fundamentals-v1.jpg?w=120
605,"Salesforce Development: Testing, Debugging, and Deployment",Mar 3 2023,by Adam Olshansky,Intermediate,2h 36m,https://pluralsight.imgix.net/course-images/salesforce-development-testing-debugging-deployment-cert-v1.jpg?w=120
606,Windows 11 Desktop Administration: Installation and Configuration,Mar 2 2023,by Matt Allford,Beginner,7h 5m,https://pluralsight.imgix.net/course-images/win-11-desktop-admin-installation-configuration-v1.jpg?w=120
607,IDA Pro Concepts and Basic Functionality,Mar 2 2023,by Josh Stroschein,Intermediate,1h 6m,https://pluralsight.imgix.net/course-images/ida-pro-concepts-basic-functionality-v1.jpg?w=120
608,Developing an Artificial Intelligence Strategy for Your Organization,Mar 2 2023,by Jamie Maguire,Beginner,1h 1m,https://pluralsight.imgix.net/course-images/developing-artificial-intelligence-strategy-organization-v1.jpg?w=120
609,Plotting Data with Pandas,Mar 2 2023,"by Jason Browning, Ph.D.",Beginner,25m,https://pluralsight.imgix.net/course-images/plotting-data-pandas-v1.jpg?w=120
610,Inter-AS and Multicast MPLS VPNs,Mar 2 2023,by Nick Russo,Advanced,2h 6m,https://pluralsight.imgix.net/course-images/inter-as-multicast-mpls-vpns-cert-v1.jpg?w=120
611,Jakarta EE 9 Messaging,Mar 2 2023,by Jaya Bodkhey,Intermediate,1h 20m,https://pluralsight.imgix.net/course-images/jakarta-messaging-ee-9-v1.png?w=120
612,Windows 11 Desktop Administration: System Maintenance and Troubleshooting,Mar 2 2023,by Matt Allford,Beginner,3h 50m,https://pluralsight.imgix.net/course-images/win-11-desktop-admin-system-maintenance-troubleshooting-v1.jpg?w=120
613,Jakarta EE 10 Messaging,Mar 2 2023,by Jaya Bodkhey,Intermediate,1h 20m,https://pluralsight.imgix.net/course-images/jakarta-ee-10-messaging-v1.png?w=120
614,Kanban Development with Jira Agile,Mar 1 2023,by Xavier Morera,Intermediate,2h 56m,https://pluralsight.imgix.net/course-images/kanban-development-jira-agile-v1.jpg?w=120
615,JavaScript Fundamentals,Mar 1 2023,by David Tucker,Beginner,6h 7m,https://pluralsight.imgix.net/course-images/fundamentals-javascript-v1.jpg?w=120
616,Security Compliance: ISO 27001,Mar 1 2023,by Richard Harpur,Beginner,56m,https://pluralsight.imgix.net/course-images/security-compliance-iso-27001-v1.jpg?w=120
617,Kusto Query Language: Scalar Operators,Mar 1 2023,by Robert Cain,Intermediate,2h 4m,https://pluralsight.imgix.net/course-images/kusto-query-language-scalar-operators-v1.jpg?w=120
618,Juniper Networks: Networking Fundamentals,Mar 1 2023,by Rich Bibby,Intermediate,1h 56m,https://pluralsight.imgix.net/course-images/juniper-networks-networking-fundamentals-cert-v2.jpg?w=120
619,Custom Dashboards and Reports with IBM Security QRadar,Mar 1 2023,by Ricardo Reimao,Intermediate,55m,https://pluralsight.imgix.net/course-images/ibm-security-qradar-dashboards-reports-v1.jpg?w=120
620,Tech Foundations Preview,Mar 1 2023,by Pluralsight Skills,Beginner,36m,https://pluralsight.imgix.net/course-images/tech-foundations-preview-v1.png?w=120
621,Active Defense with PowerShell,Feb 28 2023,by Mike Woolard,Intermediate,1h 2m,https://pluralsight.imgix.net/course-images/powershell-active-defense-v1.jpg?w=120
622,Memory Ownership and Borrowing in Rust 2021,Feb 28 2023,by Shaun Meyer,Intermediate,1h 10m,https://pluralsight.imgix.net/course-images/rust-2021-memory-ownership-borrowing-v1.jpg?w=120
623,Jakarta Faces 4: The Big Picture,Feb 27 2023,by Buddhini Samarakkody,Beginner,1h 22m,https://pluralsight.imgix.net/course-images/jakarta-faces-4-big-picture-v1.png?w=120
624,Introduction to Linux Foundation Certified System Administrator (LFCS) Certification,Feb 27 2023,by Andrew Mallett,Beginner,26m,https://pluralsight.imgix.net/course-images/linux-foundation-certified-system-administrator-intro-cert-v1.jpg?w=120
625,Specialized Testing: Sessions and Tokens,Feb 27 2023,by Christian Wenz,Advanced,55m,https://pluralsight.imgix.net/course-images/specialized-testing-sessions-tokens-v1.jpg?w=120
626,SnowPro Core: Data Loading and Unloading,Feb 27 2023,by Warner Chaves,Beginner,1h 38m,https://pluralsight.imgix.net/course-images/snowpro-core-data-loading-unloading-v1.jpg?w=120
627,Specialized Testing: Deserialization,Feb 27 2023,by Peter Mosmans,Advanced,1h 1m,https://pluralsight.imgix.net/course-images/specialized-testing-deserialization-v1.jpg?w=120
628,"Minimizing, Navigating, and Resolving Conflict During Change",Feb 27 2023,by Alice Meredith,Beginner,1h 6m,https://pluralsight.imgix.net/course-images/minimizing-navigating-resolving-conflict-v1.png?w=120
629,Windows Server 2022: Secure On-premises and Hybrid Infrastructure,Feb 26 2023,by Tim Warner,Intermediate,3h 17m,https://pluralsight.imgix.net/course-images/windows-server-2022-secure-on-prem-hybrid-infrastructure-cert-v1.jpg?w=120
630,Python 3 Performance,Feb 24 2023,by Dan Tofan,Advanced,2h 57m,https://pluralsight.imgix.net/course-images/python-3-performance-v1.jpg?w=120
631,Date and Time in .NET 6,Feb 24 2023,by Filip Ekberg,Intermediate,2h 4m,https://pluralsight.imgix.net/course-images/dot-net-6-date-time-v1.png?w=120
632,Configuration and Options in ASP.NET Core 6,Feb 24 2023,by Steve Gordon,Intermediate,2h 42m,https://pluralsight.imgix.net/course-images/asp-dot-net-core-6-configuration-options-v1.png?w=120
633,Selenium 4 Fundamentals with Python,Feb 24 2023,by Elias Fofanov,Beginner,2h 36m,https://pluralsight.imgix.net/course-images/selenium-4-fundamentals-python-v1.png?w=120
634,Getting Started with Matplotlib,Feb 24 2023,by Mihaela Danci,Beginner,1h 9m,https://pluralsight.imgix.net/course-images/getting-started-matplotlib-v1.jpg?w=120
635,Concurrent Programming in Go,Feb 23 2023,by Mike Van Sickle,Intermediate,2h 42m,https://pluralsight.imgix.net/course-images/go-programming-concurrent-v1.jpg?w=120
636,The IT Ops Sessions: Kubernetes Secrets in GitOps Environments,Feb 23 2023,by Nigel Brown,Intermediate,38m,https://pluralsight.imgix.net/course-images/kubernetes-secrets-gitops-environments-it-ops-sessions-v1.png?w=120
637,Change Management: How to Avoid the Most Common Mistakes,Feb 23 2023,by Alice Meredith,Beginner,38m,https://pluralsight.imgix.net/course-images/avoid-common-mistakes-change-management-v1.png?w=120
638,Implementing Scrum with Azure DevOps,Feb 23 2023,by Benjamin Day,Beginner,8h 7m,https://pluralsight.imgix.net/course-images/implementing-scrum-azure-devops-v1.jpg?w=120
639,Working with Data in Ruby 3,Feb 23 2023,by Raphael Alampay,Intermediate,1h 38m,https://pluralsight.imgix.net/course-images/ruby-3-working-data-v1.jpg?w=120
640,What's New in Java SE 18 & 19,Feb 23 2023,by Sander Mak,Intermediate,1h 6m,https://pluralsight.imgix.net/course-images/java-se-18-whats-new-v1.jpg?w=120
641,What's New in Java SE 18 & 19,Feb 23 2023,by Sander Mak,Intermediate,1h 6m,https://pluralsight.imgix.net/course-images/java-se-18-whats-new-v1.jpg?w=120
642,Pandas Arrays and Data Structures,Feb 22 2023,by Alper Tellioglu,Intermediate,53m,https://pluralsight.imgix.net/course-images/arrays-pandas-v1.jpg?w=120
643,Developing Source Generators in C# 10,Feb 22 2023,by Thomas Claudius Huber,Advanced,3h 51m,https://pluralsight.imgix.net/course-images/c-sharp-10-developing-source-generators-v1.jpg?w=120
644,Kubernetes Installation and Configuration Fundamentals,Feb 21 2023,by Anthony Nocentino,Intermediate,3h 4m,https://pluralsight.imgix.net/course-images/kubernetes-installation-configuration-fundamentals-v3.png?w=120
645,"Maintaining, Monitoring and Troubleshooting Kubernetes",Feb 21 2023,by Anthony Nocentino,Intermediate,2h 14m,https://pluralsight.imgix.net/course-images/maintaining-monitoring-troubleshooting-kubernetes-v2.png?w=120
646,Managing the Kubernetes API Server and Pods,Feb 21 2023,by Anthony Nocentino,Intermediate,3h 44m,https://pluralsight.imgix.net/course-images/managing-kubernetes-api-server-pods-v1.jpg?w=120
647,"Configuring and Managing Kubernetes Networking, Services, and Ingress",Feb 21 2023,by Anthony Nocentino,Intermediate,2h 5m,https://pluralsight.imgix.net/course-images/configuring-managing-kubernetes-networking-services-ingress-v1.png?w=120
648,Configuring and Managing Kubernetes Storage and Scheduling,Feb 21 2023,by Anthony Nocentino,Intermediate,2h 50m,https://pluralsight.imgix.net/course-images/configuring-managing-kubernetes-storage-scheduling-v1.png?w=120
649,Managing Kubernetes Controllers and Deployments,Feb 21 2023,by Anthony Nocentino,Intermediate,2h 48m,https://pluralsight.imgix.net/course-images/managing-kubernetes-controllers-deployments-v1.png?w=120
650,User Experience: The Big Picture,Feb 21 2023,by Amber Israelsen,Beginner,2h 14m,https://pluralsight.imgix.net/course-images/ux-big-picture-v1.jpg?w=120
651,Configuring and Managing Kubernetes Security,Feb 21 2023,by Anthony Nocentino,Intermediate,2h 15m,https://pluralsight.imgix.net/course-images/configuring-managing-kubernetes-security-v1.jpg?w=120
652,Object-oriented Programming with Go,Feb 21 2023,by Mike Van Sickle,Intermediate,1h 42m,https://pluralsight.imgix.net/course-images/audience/software-development.jpg?w=120
653,FastAPI: The Big Picture,Feb 21 2023,by Abdul Rehman Yousaf,Beginner,1h 13m,https://pluralsight.imgix.net/course-images/fastapi-big-picture-v1.jpg?w=120
654,"Communications: How to Talk, Write, Present, and Get Ahead!",Feb 21 2023,by Paul Randal,Beginner,2h 4m,https://pluralsight.imgix.net/course-images/communications-talk-write-present-v1.png?w=120
655,Working with Components in React 18,Feb 18 2023,by Peter Kellner,Intermediate,3h 22m,https://pluralsight.imgix.net/course-images/react-18-working-components-v1.png?w=120
656,Threat Hunting: Endpoint Hunting,Feb 18 2023,by Brandon DeVault,Intermediate,1h 21m,https://pluralsight.imgix.net/course-images/threat-hunting-endpoint-hunting-v1.png?w=120
657,Splunk 9: Creating Workflow Actions,Feb 17 2023,by Joe Abraham,Intermediate,1h 4m,https://pluralsight.imgix.net/course-images/splunk-9-creating-workflow-actions-v1.jpg?w=120
658,Configure Windows Devices with Microsoft Intune,Feb 17 2023,by Dean Ellerby,Intermediate,46m,https://pluralsight.imgix.net/course-images/microsoft-intune-windows-devices-configure-v1.jpg?w=120
659,Extending ASP.NET Core 6,Feb 17 2023,by Peter Shaw,Advanced,4h 2m,https://pluralsight.imgix.net/course-images/asp-dot-net-core-6-extending-v1.png?w=120
660,SnowPro Core: Data Protection and Data Sharing,Feb 17 2023,by Pinal Dave,Beginner,1h 2m,https://pluralsight.imgix.net/course-images/snowpro-core-data-protection-sharing-v1.jpg?w=120
661,Redirecting Traffic with MPLS Traffic Engineering,Feb 17 2023,by Nick Russo,Advanced,2h 12m,https://pluralsight.imgix.net/course-images/redirecting-traffic-mpls-traffic-engineering-cert-v1.jpg?w=120
662,VMware vRealize Automation: Troubleshooting and Repair,Feb 16 2023,by Patrick Rusch,Intermediate,2h 8m,https://pluralsight.imgix.net/course-images/vmware-vrealize-automation-troubleshooting-repair-cert-v1.jpg?w=120
663,VMware vRealize Automation: Performing Administrative and Operational Tasks,Feb 16 2023,by Patrick Rusch,Intermediate,3h 32m,https://pluralsight.imgix.net/course-images/vmware-vrealize-automation-performing-admin-operational-tasks-cert-v1.jpg?w=120
664,AZ-400: Designing and Implementing Microsoft DevOps Solutions,Feb 16 2023,by Alex Potasnick,Intermediate,15h 20m,https://pluralsight.imgix.net/course-images/az-400-designing-implementing-microsoft-devops-solutions-v1.jpg?w=120
665,VMware vRealize Automation: Installation and Configuration,Feb 16 2023,by Patrick Rusch,Intermediate,2h 18m,https://pluralsight.imgix.net/course-images/vmware-vrealize-automation-installation-configuration-cert-v1.png?w=120
666,Introduction to Google Workspace Administration,Feb 15 2023,by Google Cloud,Beginner,26m,https://pluralsight.imgix.net/course-images/introduction-google-workspace-administration-2-v1.png?w=120
667,Introduction to Google Workspace Administration,Feb 15 2023,by Google Cloud,Beginner,26m,https://pluralsight.imgix.net/course-images/introduction-google-workspace-administration-2-v1.png?w=120
668,AZ-220 - Microsoft Certified: Azure IoT Developer Specialty,Feb 15 2023,by Amy Coughlin,Intermediate,5h 14m,https://pluralsight.imgix.net/course-images/az-220---microsoft-certified-azure-iot-developer-specialty-v1.jpg?w=120
669,Introduction to Google Workspace Administration,Feb 15 2023,by Google Cloud,Beginner,26m,https://pluralsight.imgix.net/course-images/introduction-google-workspace-administration-2-v1.png?w=120
670,Certified Kubernetes Application Developer: Application Observability and Maintenance,Feb 15 2023,by Dan Wahlin,Intermediate,2h 34m,https://pluralsight.imgix.net/course-images/ckad-application-observability-maintenance-cert-v1.jpg?w=120
671,Querying Data with Snowflake,Feb 14 2023,by Mohit Batra,Beginner,1h 56m,https://pluralsight.imgix.net/course-images/querying-data-snowflake-v1.jpg?w=120
672,Web Assembly Interaction with JavaScript,Feb 14 2023,by Jon Flanders,Advanced,2h 20m,https://pluralsight.imgix.net/course-images/javascript-web-assembly-interaction-v1.jpg?w=120
673,Jakarta EE 10 Web Profile Fundamentals,Feb 14 2023,by Kevin Jones,Beginner,4h 54m,https://pluralsight.imgix.net/course-images/jakarta-ee-10-web-profile-fundamentals-v1.png?w=120
674,Web Assembly Interaction with JavaScript,Feb 14 2023,by Pluralsight,Advanced,2h 20m,https://pluralsight.imgix.net/course-images/javascript-web-assembly-interaction-v1.jpg?w=120
675,Selenium 4 Fundamentals with Java,Feb 14 2023,by Andrejs Doronins,Beginner,3h 27m,https://pluralsight.imgix.net/course-images/selenium-4-java-fundamentals-v1.jpg?w=120
676,Accessing Arrays with NumPy,Feb 14 2023,by Karoly Nyisztor,Intermediate,59m,https://pluralsight.imgix.net/course-images/accessing-arrays-numpy-v1.jpg?w=120
677,Preparing for Your Associate Cloud Engineer Journey,Feb 14 2023,by Google Cloud,Beginner,51m,https://pluralsight.imgix.net/course-images/preparing-associate-cloud-engineer-journey-2-v1.png?w=120
678,Managing Google Workspace,Feb 14 2023,by Google Cloud,Beginner,26m,https://pluralsight.imgix.net/course-images/managing-google-workspace-3-v1.png?w=120
679,Styling Apps in React 18,Feb 13 2023,by Jake Trent,Intermediate,1h 20m,https://pluralsight.imgix.net/course-images/react-18-styling-apps-v1.png?w=120
680,Jakarta EE 10 Web Profile: Big Picture,Feb 13 2023,by Richard Monson-Haefel,Beginner,57m,https://pluralsight.imgix.net/course-images/jakarta-ee-10-web-profile-big-picture-v2.png?w=120
681,Network Analysis with OPNsense,Feb 10 2023,by Brian Dorr,Intermediate,44m,https://pluralsight.imgix.net/course-images/opnsense-network-analysis-v1.jpg?w=120
682,The IT Ops Sessions: Should I Switch to PowerShell 7?,Feb 10 2023,by Tim Warner,Intermediate,37m,https://pluralsight.imgix.net/course-images/powershell-7-switch-it-ops-sessions-v1.png?w=120
683,The IT Ops Sessions: Should I Switch to PowerShell 7?,Feb 10 2023,by Pluralsight,Intermediate,37m,https://pluralsight.imgix.net/course-images/powershell-7-switch-it-ops-sessions-v1.png?w=120
684,AZ-104 Microsoft Azure Administrator Certification Prep,Feb 10 2023,by Pluralsight,Intermediate,14h 17m,https://pluralsight.imgix.net/course-images/az-104-microsoft-azure-adminstrator-certification-prep-v1.jpg?w=120
685,Creating Reports with Power BI,Feb 10 2023,by Nikola Ilic,Intermediate,1h 11m,https://pluralsight.imgix.net/course-images/creating-reports-powerbi-v1.jpg?w=120
686,Key Concepts: Data Value Chain,Feb 10 2023,by Jillian Kaplan,Beginner,33m,https://pluralsight.imgix.net/course-images/key-concepts-data-value-chain-v1.jpg?w=120
687,AZ-104 Microsoft Azure Administrator Certification Prep,Feb 10 2023,by Chase Dovey,Intermediate,14h 17m,https://pluralsight.imgix.net/course-images/az-104-microsoft-azure-adminstrator-certification-prep-v1.jpg?w=120
688,Enhance Reports for Usability and Storytelling with Power BI,Feb 10 2023,by Ben Howard,Intermediate,1h 51m,https://pluralsight.imgix.net/course-images/enhance-reports-usability-storytelling-power-bi-v1.jpg?w=120
689,Micro Frontend Fundamentals,Feb 10 2023,by Shubham Sinha,Beginner,2h 25m,https://pluralsight.imgix.net/course-images/micro-front-end-fundamentals-v1.png?w=120
690,Network Protocols for Security: TCP and UDP,Feb 9 2023,by Brandon DeVault,Beginner,20m,https://pluralsight.imgix.net/course-images/security-network-protocols-tcp-udp-v1.jpg?w=120
691,Up and Running with Pandas,Feb 9 2023,by Pluralsight,Beginner,1h 14m,https://pluralsight.imgix.net/course-images/up-running-pandas-v1.jpg?w=120
692,Managing Go Projects,Feb 9 2023,by Pinal Dave,Intermediate,1h 35m,https://pluralsight.imgix.net/course-images/go-managing-projects-v1.jpg?w=120
693,Up and Running with Pandas,Feb 9 2023,by Raphael Alampay,Beginner,1h 14m,https://pluralsight.imgix.net/course-images/up-running-pandas-v1.jpg?w=120
694,ASP.NET Core 6 Playbook,Feb 9 2023,by Alexander Tushinsky,Intermediate,2h 2m,https://pluralsight.imgix.net/course-images/asp-dot-net-core-6-playbook-v1.jpg?w=120
695,ChatGPT and Generative AI: The Big Picture,Feb 8 2023,by Amber Israelsen,Beginner,28m,https://pluralsight.imgix.net/course-images/chatgpt-generative-ai-big-picture-v1.jpg?w=120
696,vSphere 8: Configuring and Managing vSphere Storage,Feb 8 2023,by David Davis,Intermediate,5h 12m,https://pluralsight.imgix.net/course-images/vsphere-8-configuring-managing-vsphere-storage-v1.jpg?w=120
697,Ubuntu Linux Administration: Storage Management,Feb 8 2023,by Andrew Mallett,Intermediate,4h 8m,https://pluralsight.imgix.net/course-images/ubuntu-linux-administration-storage-management-cert-v1.jpg?w=120
698,React Native Fundamentals,Feb 8 2023,by Reggie Dawson,Beginner,2h 31m,https://pluralsight.imgix.net/course-images/fundamentals-react-native-v1.jpg?w=120
699,Building React Native Apps Using TypeScript,Feb 8 2023,by Michael Perry,Intermediate,1h 59m,https://pluralsight.imgix.net/course-images/react-native-building-apps-typescript-v1.jpg?w=120
700,Excel Statistics and Finance Function Playbook,Feb 8 2023,by Craig Golightly,Intermediate,1h 25m,https://pluralsight.imgix.net/course-images/excel-statistics-finance-functionplaybook-v1.png?w=120
701,What's New in C# 11,Feb 7 2023,by Roland Guijt,Intermediate,38m,https://pluralsight.imgix.net/course-images/c-sharp-11-whats-new-v1.png?w=120
702,.NET 6 Desktop Development: Big Picture,Feb 6 2023,by Thomas Claudius Huber,Beginner,53m,https://pluralsight.imgix.net/course-images/dot-net-6-desktop-development-big-picture-v2.jpg?w=120
703,Building a Data-driven ASP.NET Core 6 Blazor Server Application with EF Core,Feb 6 2023,by Thomas Claudius Huber,Intermediate,4h 1m,https://pluralsight.imgix.net/course-images/asp-dot-net-core-6-blazor-ef-core-server-application-data-driven-v1.jpg?w=120
704,WPF 6 Fundamentals,Feb 6 2023,by Thomas Claudius Huber,Beginner,6h 9m,https://pluralsight.imgix.net/course-images/wpf-6-fundamentals-v1.jpeg?w=120
705,WinUI 3 Fundamentals,Feb 6 2023,by Thomas Claudius Huber,Beginner,5h 23m,https://pluralsight.imgix.net/course-images/win-ui-3-fundamentals-v1.jpg?w=120
706,Getting Started with Artificial Intelligence for Business,Feb 6 2023,by Pratheerth Padman,Beginner,59m,https://pluralsight.imgix.net/course-images/getting-started-artificial-intelligence-business-v1.jpg?w=120
707,Identify Patterns and Trends in Power BI,Feb 6 2023,by Andrew McSwiggan,Intermediate,1h 46m,https://pluralsight.imgix.net/course-images/identify-patterns-trends-power-bi-v1.jpg?w=120
708,TensorFlow Developer Certificate - Natural Language Processing (NLP),Feb 6 2023,by Axel Sirota,Intermediate,2h 11m,https://pluralsight.imgix.net/course-images/tensorflow-developer-natural-language-processing-v1.jpg?w=120
709,Natural Language Processing on Google Cloud,Feb 6 2023,by Google Cloud,Intermediate,3h 15m,https://pluralsight.imgix.net/course-images/natural-language-processing-google-cloud-1-v1.png?w=120
710,Sniffing and Spoofing with Kali Linux,Feb 6 2023,by Alexander Tushinsky,Beginner,48m,https://pluralsight.imgix.net/course-images/kali-linux-sniffing-spoofing-v1.jpg?w=120
711,Resilience Is Your Superpower,Feb 3 2023,by Aleksandra Majkic,Beginner,53m,https://pluralsight.imgix.net/course-images/profdev-series-resilience-superpower-v1.jpg?w=120
712,Creating Dashboards with Power BI,Feb 3 2023,by Matthew Calderwood,Beginner,1h 58m,https://pluralsight.imgix.net/course-images/creating-dashboards-powerbi-v1.jpg?w=120
713,"The IT Ops Sessions: 5G, What Now?",Feb 3 2023,by Jillian Kaplan,Intermediate,28m,https://pluralsight.imgix.net/course-images/5g-what-now-it-ops-sessions-v1.png?w=120
714,Post Exploitation with Kali Linux,Feb 3 2023,by Kat DeLorean Seymour,Beginner,1h 9m,https://pluralsight.imgix.net/course-images/kali-linux-post-exploitation-v1.jpg?w=120
715,Getting Started with Microsoft Teams and Microsoft 365 Groups Administration,Feb 3 2023,by Vlad Catrinescu,Intermediate,7h 34m,https://pluralsight.imgix.net/course-images/microsoft-teams-365-groups-administration-getting-started-cert-v1.jpg?w=120
716,The IT Ops Sessions: Revolutionizing IT Infrastructure - Unlocking the Power of Hyperconvergence,Feb 3 2023,by Roosevelt Wilmot,Intermediate,34m,https://pluralsight.imgix.net/course-images/revolutionizing-it-infrastructure-hyperconvergence-it-ops-sessions-v1.png?w=120
717,Statistical Analysis with Matplotlib,Feb 3 2023,by Martin Burger,Intermediate,52m,https://pluralsight.imgix.net/course-images/statistical-analysis-matplotlib-v1.jpg?w=120
718,Mitigating Security Vulnerabilities on Google Cloud,Feb 2 2023,by Google Cloud,Beginner,55m,https://pluralsight.imgix.net/course-images/mitigating-security-vulnerabilities-google-cloud-6-v1.png?w=120
719,Preparing for Your Professional Cloud Network Engineer Journey,Feb 2 2023,by Google Cloud,Intermediate,1h 4m,https://pluralsight.imgix.net/course-images/preparing-professional-cloud-network-engineer-journey-2-v1.png?w=120
720,Networking in Google Cloud: Hybrid Connectivity and Network Management,Feb 2 2023,by Google Cloud,Beginner,1h 51m,https://pluralsight.imgix.net/course-images/networking-google-cloud-hybrid-connectivity-network-management-9-v1.png?w=120
721,Optimize Model Performance with Power BI,Feb 1 2023,by Nikola Ilic,Intermediate,1h 6m,https://pluralsight.imgix.net/course-images/optimize-model-performance-with-power-bi-v1.jpg?w=120
722,Artificial Intelligence Essentials: Smart Assistants,Feb 1 2023,by Naveed Tauhid,Intermediate,32m,https://pluralsight.imgix.net/course-images/artificial-intelligence-essentials-smart-assistants-v1.jpg?w=120
723,The IT Ops Sessions: Generating a Software Bill of Materials for Docker Images,Feb 1 2023,by Esteban Herrera,Intermediate,31m,https://pluralsight.imgix.net/course-images/generating-software-bill-materials-docker-images-it-ops-sessions-v1.png?w=120
724,Windows Device Enrollment with Microsoft Intune,Feb 1 2023,by Dean Ellerby,Intermediate,1h 44m,https://pluralsight.imgix.net/course-images/microsoft-intune-windows-device-enrollment-v1.jpg?w=120
725,Understanding AWS Core Services,Jan 31 2023,by David Tucker,Beginner,2h 46m,https://pluralsight.imgix.net/course-images/understanding-aws-core-services-v2.jpg?w=120
726,Modules in JavaScript,Jan 31 2023,by Shawn Wildermuth,Intermediate,1h 52m,https://pluralsight.imgix.net/course-images/javascript-modules-v1.jpg?w=120
727,Google Cloud Fundamentals: Core Infrastructure,Jan 30 2023,by Google Cloud,Beginner,2h 21m,https://pluralsight.imgix.net/course-images/google-cloud-fundamentals-core-infrastructure-1-v1.png?w=120
728,Google Cloud Fundamentals for AWS Professionals,Jan 30 2023,by Google Cloud,Beginner,2h 47m,https://pluralsight.imgix.net/course-images/google-cloud-fundamentals-aws-professionals-1-v1.png?w=120
729,Networking in Google Cloud: Defining and Implementing Networks,Jan 30 2023,by Google Cloud,Beginner,3h 36m,https://pluralsight.imgix.net/course-images/networking-google-cloud-defining-implementing-networks-7-v1.png?w=120
730,Managing Errors in Go,Jan 30 2023,by Corneile Britz,Intermediate,46m,https://pluralsight.imgix.net/course-images/go-managing-errors-v1.jpg?w=120
731,Google Cloud Fundamentals for Azure Professionals: Core Infrastructure,Jan 30 2023,by Google Cloud,Beginner,2h 48m,https://pluralsight.imgix.net/course-images/google-cloud-fundamentals-azure-professionals-core-infrastructure-1-v1.png?w=120
