nro,title,title_url,title_badge,date,author,level,length,icon
69,Configuring and Managing SharePoint Online and OneDrive for Business,https://www.pluralsight.com/courses/sharepoint-online-onedrive-business-configuring-managing,Skills - Expanded,Aug 11 2023,by Vlad Catrinescu,Intermediate,5h 45m,https://pluralsight.imgix.net/course-images/sharepoint-online-onedrive-business-configuring-managing-v1.jpg?w=120
70,API Security with the OWASP API Security Top 10,https://www.pluralsight.com/courses/owasp-api-security-top-10,Skills - Expanded,Aug 11 2023,by Pluralsight,Intermediate,1h 59m,https://pluralsight.imgix.net/course-images/owasp-api-security-top-10-v1.jpg?w=120
71,Getting Started with Jenkins,https://www.pluralsight.com/courses/jenkins-getting-started-2023,Skills - Expanded,Aug 11 2023,by Wes Higbee,Beginner,2h 25m,https://pluralsight.imgix.net/course-images/jenkins-getting-started-2023-v1.jpg?w=120
72,Documenting RESTful Services Using Spring REST Docs 3,https://www.pluralsight.com/courses/spring-rest-docs-3-documenting-restful-services,Skills - Expanded,Aug 11 2023,by Federico Mestrone,Advanced,3h 3m,https://pluralsight.imgix.net/course-images/spring-rest-docs-3-documenting-restful-services-v1.jpg?w=120
73,Data Security with OpenSSL,https://www.pluralsight.com/courses/openssl-data-security,Skills - Expanded,Aug 10 2023,by Afzaal Ahmad Zeeshan,Intermediate,36m,https://pluralsight.imgix.net/course-images/openssl-data-security-v1.jpg?w=120
74,Terraform Deep Dive,https://www.pluralsight.com/courses/terraform-deep-dive-2023,Skills - Expanded,Aug 10 2023,by Ned Bellavance,Intermediate,3h 49m,https://pluralsight.imgix.net/course-images/terraform-deep-dive-2023-v1.jpg?w=120
75,Google Docs,https://www.pluralsight.com/courses/google-docs-3,Skills - Expanded,Aug 10 2023,by Google Cloud,Beginner,38m,https://pluralsight.imgix.net/course-images/google-docs-3-v1.png?w=120
76,Post Exploitation with PowerShell,https://www.pluralsight.com/courses/powershell-post-exploitation,Skills - Expanded,Aug 9 2023,by Ricardo Reimao,Advanced,1h 48m,https://pluralsight.imgix.net/course-images/powershell-post-exploitation-v1.jpg?w=120
77,NLP's and Transformer Models,https://www.pluralsight.com/courses/nlp-transformer-models,Skills - Expanded,Aug 9 2023,by Axel Sirota,Intermediate,2h 35m,https://pluralsight.imgix.net/course-images/nlp-transformer-models-v2.jpg?w=120
78,OS Analysis with Artillery,https://www.pluralsight.com/courses/artillery-os-analysis,Skills - Expanded,Aug 9 2023,by Matt Glass,Intermediate,16m,https://pluralsight.imgix.net/course-images/artillery-os-analysis-v1.jpg?w=120
79,Rust: The Big Picture,https://www.pluralsight.com/courses/rust-big-picture,Skills - Expanded,Aug 9 2023,by Mike Woodring,Beginner,1h 55m,https://pluralsight.imgix.net/course-images/rust-big-picture-v1.jpg?w=120
80,API Testing an Application with Karate,https://www.pluralsight.com/courses/karate-api-testing-application,Skills - Expanded,Aug 8 2023,by Nertil Poci,Intermediate,2h 16m,https://pluralsight.imgix.net/course-images/karate-api-testing-application-v1.jpg?w=120
81,Interaction Design: The Big Picture,https://www.pluralsight.com/courses/interaction-design-big-picture,Skills - Expanded,Aug 7 2023,by Amber Israelsen,Beginner,1h 12m,https://pluralsight.imgix.net/course-images/interaction-design-big-picture-v1.jpg?w=120
82,Quantum Computing Fundamentals,https://www.pluralsight.com/courses/quantum-computing-fundamentals,Skills - Expanded,Aug 7 2023,by Kevin James,Beginner,1h 48m,https://pluralsight.imgix.net/course-images/quantum-computing-fundamentals-v1.png?w=120
83,Getting Started with NumPy,https://www.pluralsight.com/courses/numpy-getting-started,Skills - Expanded,Aug 7 2023,by Pluralsight,Beginner,54m,https://pluralsight.imgix.net/course-images/numpy-getting-started-v1.jpg?w=120
84,MySQL Administration,https://www.pluralsight.com/courses/mysql-administration,Skills - Expanded,Aug 7 2023,by Pinal Dave,Beginner,2h 1m,https://pluralsight.imgix.net/course-images/mysql-administration-v1.jpg?w=120
85,File Analysis with CyberChef,https://www.pluralsight.com/courses/cyberchef-file-analysis,Skills - Expanded,Aug 4 2023,by Owen Dubiel,Intermediate,28m,https://pluralsight.imgix.net/course-images/cyberchef-file-analysis-v1.png?w=120
