source,target,edge
you,young  travelers,are
this,safe  night,is
rooms,private Chakana bathroom,are spacious
I,low  season,paid
two downstairs I,big  Peru,worked in
Cable TV,English,included
Ronald,front  staff,were friendly
Breakfast,coffee,was basic
low  this,low  season,was
You,high  season,want
which,Cusco,have
vegetarian El which,meat dishes,are
I,12 falafel soles,recommend
El Encuentro,more wood choices,is
nights  staff,new  year,sleep
you,everything,Is
they,all,think
family,high Macho Picchou,journeyed to
We,2 mountain days,been
taxi Old cabs,wall  gate,away
Staff,procedures,were
Twisty  stairs,perfect art emphasis decor,is perfect
chic  it,living space layout,got
Breakfasts,very  reviews,included
however  curling,iron,short
hotel,physical bullet rooms,is close
reception I,3,opted for
too  we,end,is close
Inca hotel,4  days,is
I,totally  hotel,was
Clothes,room,was less
advance  we,better  value,stayed
we,good  English,were friendly
which,just altitude sickness,important
Ten  minutes,main  square,walk to
which,much mains plazas,close by
We,interesting  artworks,enjoyed
January,nearest  peaks,be
hotel,extra  us,was comfortable
Breakfast,excellent  choice,was good
English,Spanish,speak
terrible  they,us,welcomed
staff,elderly  mother,checked
Guests,nice  touch,borrow
visit,more  Cusco,stayed for
Friendly  who,related group members,staff
We,just Inca Trail,stayed
front  heater,us,told
I,name,were polite
We,rafting  trips,stayed
also  this,supermarket,made
I,stay,enjoyed
people,other,knows
there  you,owner,know
you,home,want
man,9  11:30pm,drinking
only  owner,place,is
he,very  me,asked
him,full  volume,was
I,new year eve,stayed in
It,long  stay,was cheap
Bathrooms,always  wall,were
this,e,seemed strange
You,5  soles,need
they,smth,use
they,volunteering kids,is
nice  they,period,be nice
location,San Blas,nice
texis,hostel,be aware
I,it,recommend
girl,reception,was
definitely  you,definitely  things,put
back volunteer you,care,come
i,here volunteering project,booked
guy,so hostels that,prepared for
cleaner,room,comes into
day  she,them,told
tidy  kitchen,tidy  up,was
cooker,breeding germs,caked in
Wifi,downstairs  bedroom,was good
Mickey,refreshing  rest,was
so  it,toast,was
big  people,big  bowl,tipped into
next  I,it,recommend
i,really  time,enjoy
I,two  six,wanted
I,wonderful  staff,had
first  it,first  travels,was
I,Spanish,'s
lounge,great night t,has
Peruvian  which,10  soles,did
food,so  it,was
they,that,goes to
fortunate  they,great  cause,Helping
whole  it,whole  place,is on
you,different  favours,get
they,new  things,Kitchen
Garden area,sunshine,is great
hostel,real  character,has
It,excellent  budget,'s
I,lovely  time,had
dirty health everything,health hazard,broken
i,Peru,is
toast that,toast machine,have
tea  that,handles,put
previous  Travellers,social  life,note
they,11,close
there  you,door,dangerous
i,1  am,went
minutes  guest,me,banging on
early  which,guests,ring
They,really night procedure,need
also  you,few  drinks,tell
lot  that,San Blas,is good
Plenty,de  Armas,walk to
Money,similar  hostels,needs
I,really  it,spent
day  me,Macchu Picchu trip,made
staff,well being,is safe
very  you,own  kitchen,is
shower,hot  time,offers hot
Hostal Caja Magica,20 minute Sacsayhuaman,is in
positive  employees,positive  energy,has
employees,travel information,accommodating great
wifi,safe luggage storage,works
you,fellow Cusco experience,way
It,nice  Cusco,situated in
hostel I,hostel mates,were
i,receptionist,have
view,night,is fabulous
i,mother cat,miss
owner,willy  tours,are great
hostel,that,is open
ever  you,forward  you,to
Inka Safari stay,so  Cusco,like
also GREAT they,very Door service,have
It,Hard  perú,has
you,together family you,Team
First  I,cleaning administration,like to
many  it,many  stores,be at
rooms,them,are big
best  distraction,playing time,is
you,best Inka Safari team,regards
Me,Atawkama hostel,booked
It,reasonable  service,recommended to
interesting  food,interesting  incas,spoke
Other  members,same tour tour,For
rainy  it,land slides,were
safe  you,TV,expect
few  we,altitude,stayed
main  Edson,great  English,spot
I,sweet Peru crop distance,liked
small  housekeepers,there  stays,were fine
mixed dorm we,mixed dorm room,was
shared  which,next  me,moved to
only  we,10:30am,told of
alt which,alt sickness,were
glacial  wifi,entire  room,was glacial
Fresh,fresh coca spot,done
cheapest  we,same  things,were
everyone,way,met
again  we,time  gracias,Thanks for
already  we,definitely  hostel,considered
great  fruit,colonial  courtyard,is great
comfy  we,comfy  beds,get
hot  water,shower,be
early  this,hostel,are
when TV Spanish,wild  town,value for
few  everyday,few  weeks,stayed
better South who,Best South America,stay
so Rainbow Mountain we,Rainbow Mountain tour,had
they,tour,was shocking
bus we,double  night,arrived in
We,then  mountain,tried
so  we,tours,went to
one  item,us,apologise for
I,hostel,had
small  child,myself,began
he,me,hit
owner,son,told
He,later  belongings,came
she,subsequently  son,told
properly  this,freezing  night,close
times  it,better  Cusco,are better
I,away  home,felt
kitchen,great  pots,has
how rainbow mountain they,other rainbow mountain me,booked
promised,booking website,supplied
days  Staff,anytime  Cusco,Thanks
that,decent community kitchen,Pros
welcome  we,one  night,meal
Hotel,de  Restaurants,located direct
We,much colonial house,liked
there  it,party places,Lots of
lots,restaurants,see
i,when  Cusco,stay
This,de  Armas,was
there  it,quite  night,was
we,noise,was in
friends,two  nights,stayed in
centrally  it,1 Plaza side,located
thicker  it,thicker  pajamas,was
you,though  fee,think
room,quite Calle Suecia,was
light  you,back  place,is
different  it,more  area,was
little  they,needs,tried
you,only  1,had
it,price,was
it,basic  amenities,'s
there  we,really  place,stayed
bit  they,fruits,add
super  you,more  friendship,are nice
it,good las price,think
local  showers,sufficient night temp,was friendly
we,good lunch spot,were
often  staff,window closures,is
noisy disco it,noisy disco hours,is unfortunate
inner dining that,way disco night,come
street it,street room,try
We,days  Hostal,stayed
We,first family floor,enjoyed
nearby noise staff,luggage,was helpful
We,quickly night luggage,arrived with
ourselves  it,person,saw
grumpy  man,little  door,knocked on
we,which,wanted
when  he,already  faces,shut
when  you,5  am,kind of
regular  which,Mayor Plaza,stayed at
we,different  Cusco,wifi
best  parts,fresh  fruits,made
little  they,speaking  tickets,tried
you,booking,start
morning  we,there  breakfast,was
buffet we,dirty  table,been
hotel,5 Machu Pichu,was quick
very  we,this,were
when  people,hotel,was
so  it,whole  building,was
Additionally  we,outside touring services,recurved
when  we,us,woke
we,sink,smelled
we,room,was presentable
day  staff,immediately  room,arrived
around  staff,very  that,was
rooms,small night room,were
They,good  English,speak
regular breakfast us,airport,had
last  we,days  price,stayed
city it,city center,is
de  taxi,5  soles,is
good  bathrooms,water,are clean
dining staff,dining area,is breathtaking
enough  showers,stay,enjoyed
younger  we,home  dark,is
However  taxis,one  way,are cheap
hotel,also  us,call
staff,english,was friendly
it,you,enjoyed
flight,early  hotel,arrived
20  minutes,city centre,situated
they,spanish,been
upstairs  Cusco,high  altitude,was
hot coca people,themselves,was nice
door,room,was
after  we,so  breakfast,have
only  it,very  guests,was
OK,2  nights,stay
hotel,bit Plaza De Armes,is
good  bathroom,hot  sink,was good
we,altitude,is available
though  carrying,altitude,is
small convenience which,small convenience hotel,is small
little  English,really  Spanish,is
it,only town center,was clean
breakfast room,5th  floor,was on
you,heater,is
they,away shower cap,is
it,what,seems
you,what,Perfect for
lovely  that,comfortable  stay,go
own  you,better  city,is
We,long Machu Picchu trek,arrived for
They,arrival check in,appeared
hotel,central  area,is in
It,central area shops,is
We,portable  room,had
so  water,floor,had
then  it,trickle,came as
We,quickly  management,were able
Included  breakfast,rooftop,is on
there  sun,room,heated
food,cooked  eggs,is fresh
so  you,stairs,have
which,lobby,were
when  we,airport,was able
when Atlantis we,just Atlantis street,made sure
60  I,great  places,use
Hostel Augusto,gorgeous  Urubamba,is
I,rarely  reviews,visit
great  you,great  review,deserves
This,few  Cusco,is
special  who,%  need,say enough
life,Hotel Augusto,Make
hotel,historic  Cusco,is on
desk clerk,matrimonial,asked for
She,excellent  Cusco,gave
pretty quaint somebody,pretty quaint that,was
staff,very  English,were
maybe  you,bath,was good
only  it,only  toast,was adequate
food,restaurant,was fun
EVEN  IT,DOING BUSINESS,HAVE
good  thing,restaurant,was
only  rooms,blackout curtains,is
We,one Machu Picchu,stayed
group we,group package,was
larger  it,better  condition,was in better
smaller  that,rougher  shape,had
2nd  we,two  sides,was on
sound,one  hotel,think
Everything,eat  plugs,was good
first couple nights,over  halls,was
really  we,everything,are
ahead  you,quieter  hotel,'s
You,town center,need
when  you,hotel,is
son,Peru,traveled to
Pamela,Hotel Augusto,were amazing
they,good  hands,answered
it,even birthday son,had
they,especially  restaurant,said
it,long  sightseeing,was excellent
We,3 night hotel,had
so  we,triple queen kids,had
lovely  we,additional  fee,had
there  i,place,love
that,promise,reserved
really  room,hotel,was
that,2  bucks,solved
Fair,historic city it,priced
private  I,5  nights,stayed for
kindly  we,hike,stored
scrambled  egg,very  breakfast,were
Paradise Guest that,Paradise Guest House,is
We,next  visit,House
who,really  English,spoke
private  which,private  bathroom,stayed in
who,recently  improvements,is nice
location,great Plaza San area,is amazing
Paradise Guest that,Paradise Guest House,is
We,next  visit,House
it,fantastic Paradise Guest House,was
you,comfortable  stay,speak
back  we,place,hope
Paradise Guest that,Paradise Guest House,is
We,next  visit,House
San Blas which,San Blas square,located in
I,a  August,stayed
back accommodation he,so  it,accommodating
even  we,always  room,stored
it,morning,is
Paradise Guest that,Paradise Guest House,is
We,next  visit,House
We,great  stay,had
It,hostel,is
matter  you,matter  place,was
San Blas which,main tourist square,located off
hostel,great  money,provides
so  we,more,improve more
extremely  he,great  clothes,is
I,5 San Blas kilo,recommend
I,2,paying
Guest House service,less  hotels,is
friendly  I,low  prices,stay
location,nice San restaurants,is amazing
smiling  you,smiling  it,want
long time budget place,long time budget traveler,is
he,always  smile,runs
previously  I,San Blas square,booked
that,life,is
late  nothing,Cusco,left
it,what,were
we,superb  city,think
heavy  days,just  what,was
clean  staff,clean  money,was
only  it,only  staff,manned
first  you,first  days,'s
It,fantastic San Blas area,'s
location,small living that,'s
so class we,clogged  kitchen,had
We,separate Salkantay trek,stayed for
large  that,price range,was large
bed,hot  water,were comfortable
breakfast,cereal,was good
We,safely Salkantay trek,left
common  we,us,had
location,main  hill,is good
price,approx breakfast,was
definitely  room,property,was down
breakfast,too  bread,was
colonial wifi signal,colonial  building,is
hot  Nights,great  view,were
Location,5  armas,is great
We,place,loved
hostel,steep  plaza,up
breakfast,away shower Storage courtyard,points
day staff,it,suspect
4/5  they,rarely toilet own,cleaned for
often  themselves,phones,hang around
Overall  I,stay,was happy
big day they,attitude,think
good  they,good  staff,has
great  I,individual  room,got
It,backpackers,is clean
Indira,me,greeted
where  I,nice  service,walked
Hostal,Peru,is
units,Buena bathrooms,shared
I,altitude tea,saw
5 star I,great  Cusco,room
I,nightly  noise,saw
one,night,hear
it,nightly  noise,think
few Buena blocks,hillside,located
I,Hawai'i,am from
there  weather,there  April,was
I,great Machu weather,was at
Great Great location con,nightly people noise,makes
personal  Hostal,perfect Machu Picchu,was perfect
steep  this,just  city,is up
rooms,chilly  side,were
breakfast,hot  drinks,was more
I,room city,remember
All  it,All  all,was
I,June,travelled in
#  which,old Inca side,stayed in
little  bath,thin  cobwebs,were thin
us,laundry service,Let
you,garden,'s
fruit you,ducks,have
room,gardenarea,was
comfy  we,shared  bathroom,bed
They,main ensuite building,have
so Toaster you,tasty  sandwiches,make tasty
most  he,outside  kitchen,seem
who,actually  charge,is
best  we,best  opinion,was
all party you,close city center,'s
when  you,close party de,place
I,just family guest,welcomed
I,just  that,included in
helpfull  views,helpfull  staff,feel like
here  they,good  tours,feel
It,trendy San Blas restaurants,'s in
one,double  room,is
nice  cats,place,chilling around
Peruvian hotel we,Peruvian hotel owners,is nice
other  I,good  clean,has nice
it,same accommodation range,is
It,even phone contact,took
who,porter,mention
good Inca room,someone,got
We,same  price,checked
former  grange,cheap  rooms,offers basic
AMAZING  you,Cusco,is
Also  being,arty Cusco,is convenient
This,4 month trip,been
who,homely kitchen,was
rooms,180 degree Cusco,are basic
I,Spanish  sheep,had
bus I,bus,helped
I,2  Cusco,planned
I,other  hostel,rivalled in
most  you,most  anything,is
big  we,small day sacks,went on
private  you,private  room,was able
We,days  Cusco,stayed in
Maria Luisa,daily  etc,felt like
She,family  events,shared with
I,everybody,recommend
who,you,is quiet
You,nice  Cusco,enjoy
We,great Trip Advisor,chose
very Armes beds,great Cons Service level,was spacious
good Trip we,owner,assisted by
young  who,young  man,were through
we,basic  Spanish,been
he,hot  water,had
first  toilet,seat,stayed in
much toilet seat rooms,very upstairs rooms,was
where wifi signal,10  kitchen,shut
you,cold,have
downstairs Inca we,wifi,came
we,research,was important
carpet,shoes,was scared
otherwise  breakfast,moldy  cheese,ate moldy
only  I,terrible  room,assume
We,right dining area,were on
so  I,shoes,was scared
cheese,breakfast,was
I,place,recommend
We,here Machu Picchu,stayed
we,information,greeted
it,us,had
even  we,walking Machu Picchu,asked
when  we,3:30am,was
couple  we,just  corner,walking
key  we,key  chain,gave
very  Breakfast,big Los Girasoles,ask for
he,where  us,walked to
great  Cusco,restful  area,Close to
English speaking who,where  dinner,staff
we,extra  beds,so
other  it,other  beds,was able
We,way night bus,arrived
Planning,Machu research,took
when reading you,stay,know
Los you,right  choice,let
I,own king size restroom,booked
It,so closet space,was
Los Girasoles,very  activities,is
long  tours,long  day,is
they,cereals,is yummy
They,laundry service,offer laundry
you,also  tours,help
how  people,Cusco,Thank
We,Cusco,are happy
We,here  Cusco,are
year  you,Cusco,hope
big  we,you,send
mall  stop,soon  thrre,are
above  we,stay,went
we,Cusco,staying
value,money,satifying
plug,electricty,had
hotel,adjacent  it,is
it,outside Quaint noise,was nice
Staff,little  English,is
it,price,'s
They,25 Taxi soles,arranged
we,wrong  Cusco,chose
you,little  comfort,'m sure
bed,space,was small
I,even  floor,unpack
staff,up  side,was good
we,good  reason,paid
main  it,room,is in
this,shower,made sure
really  all,terrible  Spanish,are
special  he,hot  me,deserves
when  I,reception,was
quickly  family,quickly  place,ended
first  we,Inkawasi,were
away  you,noise,tucked
room,simple  family,was
we,Peruvian  lodging,did
really  stood,apart  staff,was
always  we,always  way,went out
so bathroom they,so bathroom floor,Know
Breakfast,other  Peru,is
room,first  floor,Ask
Actually  we,first  floor,fix
staff,you,wish
comfy  you,hot  reception,had complimentary
other  you,just  offer,get
we,Machu Picchu,stored
maybe  signs,other  rudeness,be appropriate
hallway,rooms,echoed
two  I,hot  water,are
hotel,both,advertised
hot thr I,heater,told
wifi service,first  night,was intermittent
I,time,sleep due
I,Inca Wasi,like
It,main  plaza,is in
more  I,Peru,are
AC,shower,gets hot
I,good Inca experience,stayed at
wife,few  months,living in
they,altitude,flying
earlier  they,us,looked at
Inca it,one  room,chose
double  room,double  area,was
paint,walls,peeling off
Wifi,common  areas,work in
it,dining room,had
us,multiple day Cusco,let
who,place,are excellent
that,it,s about
place,refurbishing,needs
almost  beds,almost  ventilation,have
I,tipical  tourist,recommend
commentary,things,consider
immeasurably  you,recommendations,welcoming
He,lovely  manner,has
hostel,15 minute centre,presented at
I,also glass light,is
we,in  price,left
you,place,am glad
We,high Inca Trail,stayed
it,really  hostel,felt
location,away city centre,was ok
However  we,better city location,found
we,morning  breakfast,given
Breakfast,tea,was basic
cold  which,massive  stay,ended
few  water,few  days,decided
that,so  them,are
Spanish,them,speak
We,de  Oro,had
staff,you,are friendly
we,Lima,found
they,immediately  airport,set about
we,flight home flight Lima,help
We,away  generosity,blown
hotel,de San Pedro Armas,is
We,then Inca hike,stayed
I,place,recommend
only  you,bit  way,downside-
so  we,portable  heater,given
Location,de armas etc,was perfect
best  thing,guesthouse,was plentiful
where  we,back  Cusco,is
only  who,city center,recommend
I,comfortable  place,asked for
young  I,utmost  hospitality,shown
hostel,ten  centre,tucked
It,short  supermarkets,'s
I,seven  nights,loved
Parting,sad  all,was
room,so  everything,was great
that,night,is
I,here  Jan,traveled
they,phone,speak
again credit I,again credit trip,was
they,them,tried
They,change,need
we,stay,had
Highly  We,clean  towels,had clean
meal,us,served to
many  Food,many  things,was
I,highly  Cusco,recommend
I,front  desk,came
highly  who,Cusco,recommend to
Carmen,staff,were fantastic
here  they,15,had
hard  they,so  that,work
I,back  Cusco,stay
here school they,here school trip,came
They,amazing  rooms,did
It,anywhere  hotel,was
secured  we,evening flight,held
We,enough  Plaza,had
We,back Corpus Pisac,came
impending  we,impending  friday,came
We,double family singles,supposed
Room,entire  room,was
so  it,private  bathroom,was nice
front  it,whole  4,asked about
it,password,gave
We,trip,have
even  i,spanish,talk to
It,sick  members,was overwhelming
it,remote,was
when  you,wifi,fun
3  stars,comfiness,are for
so  taxi,place,way
twice  we,anything,asked
after positiv i,really  anything,Sorry
well Cusco place,more  stars,deserves more
best  I,Peru,stayed
location,very walking airport,is great
bit  breakfast,5  days,was tasty
Overall  we,stay,enjoyed
sadly  we,bad  us,travel with
always  us,family,was
we,city,were delicious
last  We,definetely  it,recommend
location,great minute sights,is great
However  we,few  difficulties,encounter
very  we,next lobby area,were bottom
shower,ten  minutes,took
electric  we,day  bathroom,was
who,half  issue,alert
time  we,Cusco,choose other
We,night  hotel,stayed
traffic,Avenida El Sol,is
king that,king bed,had
in  rooms,time,had
Wifi,hotel,was good
bilingual desk who,bilingual desk person,welcomed by
where  I,Inca ticket,provided
very  breakfast,very  quantity,was
I,country,is
I,many  reasons,recommend
It,main  market,is close
you,enough  time,plan
They,towels,provided
wine they,everything,asked for
nearby  they,also  hotel,was
still  it,4  taxi,thought
who,other  hotel,was newer
back  it,last  Cusco,was
$  I,$  more,come
other  wise,review,writing
good WIFI I,6  Peru,traveled for
double  bed,60  soles,costs
which,Peruvian  standard,2018
you,steep  stairs,So
One  staff,morning,tell
We,60  soles,get
I,one  towel,had
I,2  minutes,took
before  Breakfast,that,was
staff,little  butter,gave
staff,hot  water,fill
day  we,neighbor hotel,moved to
you,Hostal,feel
hostal,hospitality,stands
single  room,reasonable  price,was clean
kitchen,meals,has
All  I,definately  place,recommend
I,new year eve,stayed in
most  I,ever  trip,were
maybe  it,just New Year,wish
you,mind,keep in
very  you,hot  you,cook
that,me,strange
2  boys,dorm,stayed in
only  nobody,this,disappointed
Apart  it,Apart  that,was nice
this,near city center,is
I,a  hostel,spent
It,away Plaza De Armas,is clean
most,them,are friendly
They,enough  backpack,have giant
bed,reading  lamp,has
I,Andean  Soul,enjoyed
Good  hostel,de  Armas,located
They,good day trips,have
definitely  it,cheapest  Cuzco,recommend
Andean Soul I,more,stayed at
proper  He,MachuPicchu city Perù,is helpful
good  hostel,decent internet connection,is
main  area,just  road,'s
I,enough Soul price,recommend Andean
very  staff,so  me,felt
Especially  Angelo,around  Peru,had
I,different  tasks,ask
He,very  everything,was
super  they,hot  showers,is
cozy  it,cozy  stay,recommend
We,nights  hostel,stayed
We,good  staff,had
They,present  way,were
hostel,good  Cusco,choice for
lot  we,lot  information,was
highly  anyone,family,is
10 city minutes,far city center,walk
i,it,recommend
you,eggs,is simple
staff,everything,help
Wifi,well  lobby,amazing in
where  I,sometimes  it,offered
back  i,just  money,took
This  me,nice  someone,it´s
this,place,am
member,whole  time,was on
I,tour,organised as
better customer I,better customer that,'m sure
I,only  it,stayed at
ever  she,need,is
Peruvian  that,altitude,met with
inside  breakfast,beautiful  garden,was
thus  it,quite pretties Cusco,is nice
It,main  square,is within walkable
which,hotel,take
even  I,notorious  worst,was
which,also  Peru,worked with
Overall  I,excellent  stay,had
where  I,back  Cusco,looking
I,3 tour nights,stayed at
main minute staff,main minute square,are unfriendly
Breakfast,it,was terrible
Apparently  you,eggs,pay extra
drinking it,boiled tap water,buy
We,before Inca Trail trek,stayed
we,hot  it,was awesome
this,stay,asked at
I,facilities,guess
room,second  floor,was okay
you,eggs,need
option,it,go for
Sadly  we,recent  reviewers,have
We,before inka trail trek,stayed
first  room,twin  light,was
better  which,loud building head,changed to
third day which,blocked  drains,returned
very  we,cold pay night,was
stay,great Posada Del owner,filled with great
she,that,was able
you,spacious  rooms,are
that,local  attractions,provides
highly  it,highly  Abuelo,recommend
cómodo y bonito,cerca los puntos seguro,lugar
Tienen alto,de servicio,sentido
It,small  alleyway,'s
so  you,other  rooms,hear
you,what,get
you,few  days,’s
who,apartment,lives above
We,TERRIBLE it,had
same  one,far  center,are
where  you,Monumento Pachacuteq,is close
2018  it,2018  night,were
this,favorite  place,travelled in
kind  that,cipro,got
good  she,laundry,took
Attentive,it,begin
second  I,second  Cusco,planning on
Cusco  who,full Disney world options,recommend
I,wonderful  ANTARKI,had
so  you,guidebooks,opened in
new  best,quiet  night,location
I,there Cusco activities,spent
This,lovely courtyard rooms,is
so  you,so  time,were amazing
we,toilet paper,is
very  they,local tour options,practised
much  one,actually  own,included
so  that,early  hours,'s
Excellent  We,Excellent  money,recommend
so  you,guide books,find
cleaner,day  place,works
We,here  cusco,ended
rooms,hot  Peru,are spacious
small  kitchen,basic  meals,is
so  you,good  sleep,located less
Maria,secure storage treks,keep
even travel hair,extremely travel advice,helpful for
ideal  i,home,felt at
I,replacement,was
where  it,Cusco year Cusco round,beds
two Chaska I,good  things,have good
warm  it,warm  blankets,are comfy
when  I,a  week,is
location,de  Armas,is beautiful
long  it,long  stay,was
I,highly Chaska Kawarina,recommend
calm  we,two  aspects,were
now  dog,literally  apartment,is
you,better  Cusco,recommend
nights  I,familiar  flair,stayed
you,hill,located on
Nathaly,nice coca tea,received
she,bus terminal,organised
2 head answering,everybodies,have
own  you,own  dinner,served in
Outside  you,balcony/ Cuzco patio,have
just city guesthouse,nice  area,'s
ever  we,Nathaly  us,Thank
super  me,good  trips,are
view,touristy  Cusco,Nice
here  place,zero  heating,has
quaint that,some,place
I,fair  review,wrote
all  we,door,went
sometimes  service,sometimes  less,replied to
you,stairs,located uphill
you,panoramic Cusco city,view
there  we,place,made
even  snacks,guests,made
She,very  Cuzco,was
room,bunk bed,was basic
bathrooms,hot  everyone,were clean
location,main min square,was
We,main  hostel,were able
when Chaska you,Cuzco,is
charming  hospedije,small  patio,perched on
house,weaved  textiles,is clean
"3,500 sea it",night,remember
away  you,house,located about
wonderful  who,good  chat,is
La,de ayudó recuperarme,casa
Ella,nos con todo lo,mostró
Querría también,muy buen precio,decir
todos personas es el I,sick  altitude,arrived
me,really  health,helped
big  we,trips,showed
house,fair  price,is
I,good  intentions,Anders
5  minutes,good  money,is
you,small  breakfast,are friendly
many  hostels,dorms,get
We,before Machu Picchu,stayed in
accidentally  we,very  choice,came
It,friendly family owners,is
They,always  you,are
owner,us,called
when  I,stomach,gave
times  owners,early  us,had
rooms,least  upgrade,are clean
bit  owners,only  Spanish,was
T hey,de plaça del armas,located at
I,day  cusco,stay
I,4  nights,stayed
morning  we,continental  breakfast,make
I,great  price,recommend
Euro hospedaje,stay,been
family,wonderful  atmosphere,is
real  guests,real  passion,been
It,lower Manchu price,is possible
Wally  that,dozen boleto Cusco,is
also Manchu we,spectacular  mountain,includes
euro,what,was
que esto el cuarto,en mucho,no
one staff who,friendly  hostel,amenities
only  who,guests,spoke little
You,actually  dishes,expected
how  you,breakfast  attitude,like
people,dishes,kept
that,person,wanted
you,what,write
own  meals,own  kitchen,clean
friendlier staff she,wash  rule,help
unfriendly  staff,him,ended
too  you,too  what,expensive for
Pariwana hostel,better  amenities,is cheaper
woman,check,seemed
it,so o clock point,was
first  us,single  bed,returned at
still  we,3,were
having,plain  organisation,is
it,night,were ok
WiFi,dorm,is good
again  we,6,annoyed
late tour she,kitchen,wanted
when  you,time,sure
so  this,just  her,were polite
much  that,first  night,was
experience,them,been different
rest have,low  season,shared
We,before Salkantay trek,stayed
room,even  fridge,was nice
we,fixed  time,allowed
always  we,key,locked
they,always  you,means
we,them,were
girlfriend,here Machu Picchu,stayed
we,4 day trek,were helpful
loud  that,especially  weekends,is close
negative  it,us,am surprised
We,there  April,were
This,school teenagers,was
We,later Machu Picchu,stayed
when  we,wrong  keys,were
outside  which,school trip,sleep in
it,night,amenities like
we,Peru,is
future  groups,street,is
we,Peru,was
whole  room,glue,sealed good
exact  we,other  discount,told
room,four  people,was dark
she,more  booking,told
so  she,rage,flew into
15  we,airport,After
better  we,de mi anyone,recommend
so  I,them,were at
that,it,had
name,front  hostel,had
We,five Machu Picchu,stayed
how  you,teas,was good
this,fair,was
They,4  kilo,arranged
when  we,hot  evening,provide
good  people,daily  business,is
bit  it,common  Peru,are
We,little  girls,stayed
it,lower money it,delivers
5 star hostel,good  facilities,provides good
hot  you,how  it,shower
many  that,us,is
staff they,staff way,help in
We,down  stay,have
hostel,vibrant city centre,located
hosts,broken  English,are
well  you,well  what,are
highly  who,new  budget,recommend
We,prior Inca trial,stayed
later  we,Alpaca expedition trip,arrived
very  we,three  rooms,was
toilet we,some,was
few  people,amazing woodfire pizza place,was
then  channels,spanish,were in spanish
earlier  that,earlier  breakfast,had
Inca we,variety,hostel for
La which,arrival,choose
short  we,little  bathroom,gave
back de mi they,room,asked
4  someone,4  door,arrived
she,family,answered
We,clean  place,were
early  she,early  us,arranged
We,great night jam,had
which,us,arranged
bag,hostel,had
she,common  it,checked
maybe  it,street,came to
bad  mark,out  open,make sure
that,place,is
place,renovations,undergoing
good  you,anything,need
Hostal Santa Catelina,second  Cusco,was
We,very  everything,were
location,de  Armas,is excellent
Everyone,us,was kind
hostal tour bus,Arequipa,encountered
us,related  parties,helped
Therefore  we,tour,go to
we,Arequipa  hotel,have
We,them,were thankful
Old  rooms,so  room,is
I,hotel,loved
you,Santa Catalina Church,was
building,live  plants,were polite
place,good  roof,forget
amazingly  you,location,have
bathrooms,new  showers,are
quite  rooms,even  fridges,are
least  one,good  English,are
location,main  square,is excellent
you,low  friends,recommend
so  we,so  anything,was
own  this,broke college student budget,had
Inca which,Inca trail,stored
we,hotel,booked
heavy wool Most,staff,was
it,Carnaval,been
We,back Santa Catalina,went
they,$  40,is
you,Ritz,like
it,main  11,was clean
it,back,got
bottled  Gringos,bottled  water,made with bottled
us,faces,have
back  I,back  Cuzco,recommend
We,extremely  choice,were
other  rooms,other  reviews,were spotless
I,pleasant  stay,had
I,welcome,thank for
I,breathtaking  cusco,Room with breathtaking
most  I,Cusco,Stayed in
wild  who,wild  people,Quiet
He,good  Cusco,gave
He,positive  stag,kept
Hotel,Hot Water,Filipe
Oglobo,4  me,arranged
I,own  review,thought
basic  they,basic  level,were competent
they,me,communicated with
they,whole,did
I,only  intangibles,rate
she,only  spanish,were
I,accurate  Macchupicchu,get accurate
Oglobo,that,think
other  reviewers,account,ripped
Thanks  we,customers,continue
We,soon  visit,look
hotel,most  part,is basic
big  bathrooms,big  duvets,are clean
Hot  water,wifi,is
It,steep  hill,'s
we,shamefully  hotel,realized after
we,what,was
original  trains,same  thing,cut short
when  we,what,was
away Cusco it,night,was in
we,crowded hostel dorm room,were
us,stay,was
me,room,said
me,door,was
I,kitchen,put in
I,other  guests,sleep
where  I,garden,asked
there  I,rudely  that,treated
other  guests,kitchen  them,allowed
laundry,crumpled  patio,was
It,still  example,was
same  I,same  rate,asked
next  day,already  me,changed
I,home  safety,was unable
blocks  that,walking  time,ended
We,prior Machu Picchu,booked
one  person,time,was
we,food,stole
people,night,was noisy
4  we,few  hostel,are
hostel,amazing  Cusco,has amazing
you,anything,All
hostel,great  breakfast,is
We,atmosphere,liked
we,5  days,kept
different  you,beauti  garden,takes
owner,mate,greeted
Which,nice altitude sickness,was
then  which,fifth  Cusco,led by
it,few  years,think
We,kitchen reason,had
We,really Inka Appartment pemthouse,enjoyed
We,family Christmas party,came at
We,cat,loved
I,surrounding,liked
You,St Pedro way,enjoy
wife,stay,enjoyed
far  it,far  center,is
room,budget hotel,was clean
extra  stay,extra  mile,Accommodation with
property,de minute Armas,is
roof,little,is
city location,public  transportation,is
new  linens,new  management,are
it,arrival,was ready
3  hotel,lunch me,included in
hotel staff,own tour company,runs
tours,me,com
wonderful  I,back  you,come
whole Incasita Florida I,excellent  comment,want
trip,order,know
day  you,back  us,count with
I,view,enjoyed
Location,city center,Near
whole Incasita Florida I,us,want
we,best  experience,know
day  you,back  Cusco,decide
terrible day bus it,kind  couple,was
they,late  soda,gave
I,again  anyone,recommend
It,Green areas,has
