source,target,edge
We,affordable  rate,recommend
stay,just  enough,say enough
hotel,away  Cusco,is
We,prior Machu Picchu trek,stayed
hotel,main  street,hidden down
when  we,4  AM,packed
I,highly  couples,recommend
It,next  restaurants,'s
when  you,comfortable  beds,are big
we,Machu Picchu,let
great  Breakfast,lot  fruits,recommend
hard house keepers,opposite  hotel,started
They,wonderful  suggestions,gave
We,3  Cusco,reserved
us,transportation,helped
morning  they,beautiful  setting,had
day breakfast we,3 Rainbow Mountain tour,prepared
That,above  expectations,was
I,back  place,defined
husband,reviews,read
We,morning  flight,arrived early
bag we,most  option,booked
However  we,earlier  breakfast,needed
few  people,tour hotels,were
We,room,woke
it,hotels,found
group,Inca trail trek,stayed at
comfortable  staff,comfortable  beds,have such
they,ready  us,asked
Close  it,over  Plaza,was easy
when  we,Trek,had
It,close  museums,located
I,Cusco,hesitate
best  we,hotels,were
It,lovely  mountains,had
location,de min Armas,was great
We,3  nights,booked for
only  booking,2  nights,com
they,50 cancellation fee,tried
I,free  cancellation,was quick
I,luxe  bedroom,booked
I,room,proposed to
I,along  booking,found
they,used  sauna,hide
normal  they,normal  commission,presented with
who,several  booking,had
hotel,1h Cusco foot,is
breakfast,same  buffet,is more
I,really  guests,understand
finally  shower,all  all,☹
3  we,then Hotel Paradis,were
plebeian  I,suite,were excellent
staff,when travel concerns,accommodating
grueling Rainbow partner,room,enjoyed
we,everything,did
we,often  market,felt safe
they,turnaround time,needed
This,longest hotel trip,was
this,Cusco,be
Beds,very side street,are comfy
0 % We,bad  experience,have
we,booking confirmation,had
We,filter sauna,found
so  we,hotel,decided
they,everything,want
one  problem,window,was
Anyway  this,nice  you,Thank
Breakfast,quite  options,was
away  ubers,away  center,is
fresh  service,stupid  travel,needed
us,even water bottles,let
breakfast,fresh  eggs,is good
te cansas si,de cortas como nosotras,eres
Pero barato y,se,eso
shared  bathroom,hot  shower,were
You,close  colectivos,are
I,definitely  hostal,recommend
80 Esta escondido,incluso que sea tranquilo,que
varias cosas me,mucho Cusco por mi,micros
Incluso me,para indicarme el paradero,estar
El único,que  hay,impedimento
cherché 1 bonne heure,trouver un airbnb,durant
you,what,get
hotel,heater water issues,has
I,own,guess
you,it,Avoid
I,place,recommend
important  I,foreigner,feel comfortable
Few breakfast options,breakfast,are few
so  I,poncho  clothes,work
even  water,room,has
I,local train hotel,arrived at
It,main  square,located
Easy,restaurant  sights,walk to many
I,peanuts,drink
local  leaves,tea,are good
room,private  bath,was on
heat,room heater,provided by
chill,heater,overcome
hotel y el,tiene elevador,lugar
toallas del baño,huelen,está
when  you,room,is clean
bad  room,hot  water,are clean
when  they,30  min,was
there  it,worst  hotels,makes
We,one  twin,booked
twin  bed,single  bed,returned from
people,wide eye stare,offer
It,4th  party,took
we,back  elses,came
2  it,2  days,had
So  we,hours  trek,took
It,1 star service,'s
excellent Armas San we,more  city,lose
also Hotel staff,what,was great
I,strongly  it,recommend
We,separate Machu Picchu,allocated
different  four,issues,experienced
flushing death trap we,line,endure
burnt hair that,burnt hair dryer,had
plug,earth pin,had
new Cusco hotel,electric  earth,is
walk,lovely side street cafes,takes
else  you,it,Stay
solo,tour,Stayed at
first  I,shoe door,was
scrambled  it,scrambled  eggs,looked
I,morning  6,is from
only  thing,available  day,prepared
also  I,that,is
sparse  it,cost,is inedible
gastrointestinal  travelers,gastrointestinal  condition,forced
cooling  core,cooling  center,is in
burners,egg pan,utilized
day  they,back  evening,took
he,it,believe
time  I,else  clothes,had
stars  that,stars  service,had
several  people,rooms,had
"myself!,Sorry",OPINION,book
one  room,lower  price,has
only  windows,rooms,feel
We,forward  visit,look
hot  that,hotel,got to
when  we,problem,was beyond rude
We,hotel,ended
here  it,home,Stayed
ever  she,trusted taxi airport,was
also  us,sightseeing,help
how  she,ready  us,had
She,fair  price,did
It,central  plaza,was
I,next  trip,return
two  it,minute,let
we,blankets,was
you,so  teat,research
other  we,in  visit,enjoyed
I,New Year,was in
that,entire  Cusco,see
owners,archaeological tourist surroundings,were
seeks,here  it,find
location,airport,is good
I,hotel,recommend
next  trip,La Paz,is towards
host,kindly travel agency,recommended
however city taxis,cheap transport it,balance
you,what,get
a muchos,claves,lugares
siempre dispuestos quienes,trabajan,allí
Gracias por hacernos,tan bien,sentir
Todos muy amables,ayudarte,dispuestos
pousada entrega,anuncia,que
bem localizada muito bem esta,vários,próximo
recepcionista,é muito educada,do
de era muito bom,deixou café da desejar,opções
We,away Machu Pichu,were able
We,high  ceiling,arrived to
it,following  day,ordered
instead  they,it,said
vertically  necks,vertically  bed,was
45  this,rip -the room,was
Just  we,Just  door,opened
we,day,told
when  we,them,broken
card transactions,5  everything,informed
few  protests,few  days,seems new
here  you,comfort,stay
place,good  service,has
only  suggestion,triple  room,be
It,full size lobby,be great
main  I,main  square,are
y Gabriel,de  Armas,aquí
when  I,Cusco,staying at
you,better  place,find
dog,adorable  world,is
Beds,blankets,are comfortable
mini  that,mini  wall,attached to
though  I,most  part,water for
Also  laundry,3  kilo,done on
Breakfast,scrambled bread roll,included in
you,fruit,Plus
inner  courtyard,good yellow vibe,painted
you,early  treks,faced by
silence  they,even  staff,adhered to by
I,light,have
306  I,room,struggled
her,front  room,heard
me,mental  abilities,had
So  I,So  end,be sure
We,3 machu MP,stayed at
hot  which,cold  Cusco,comes with
room,free  heater,includes
really winter food,really winter time,is OK
well  location,quite  street,on
This,good  money,is
You,look,take
hotel,much  character,is
Also  they,steep stair case,help
steep  I,steep  stairs,floors
We,3rd  floor,were on
again  this,positive  money,was
price,it,met
initially sister they,sister hotel,went to
then  we,taxi,called
they,us,given
people,way,were on
later  we,over  room,came
barely  time,us,is inexcusable
us,new  bags,was
it,me,seemed
door boutique which,boutique hotel,ended
really  hostal,really  location,enjoyed
uphill  everything,Cusco,was
everything,hostal,hear
I,two  Cusco,had
that,$  night,was
there  we,next  night,began
other  two,card,was
when  it,part,have
card payment which,main  way,given
when  I,day  level,had
reservations,different  desk,was
we,card,had
two  twins,uncomfortable  middle,ended
California king,down  top,was
Sleeping,cloud,was like
day  we,flight,had
only  drawback,thin  walls,was
this,me,was
so  I,English  employees,comment as
towels,touch,was clean
I,complimentary  breakfast,looked
when  I,Cusco,stay
6  Heating,5,reciept
off  it,where taxi it,is
added  it,you,’s
bare minimum it,day trips,are friendly
you,reception area,had
one drinking water,one  person,was average
night  we,rusty  pizza,found
we,nail,took
alternative  that,convenient  location,advise
de Hotel which,de Hotel Armas,is
When  we,big  plaza,were
Tour companies,morning pick up,come to
rooms,beautiful  city,have beautiful
others,fridge,have
Staff,very  laundry,are
We,definitely Hotel Cusco,recommend
hotel,travels,was like
purely Inca it,prior Inca Trail,booked
quick  it,centre,was
where  they,breakfast,booked
away  we,room,shown
Spanish,best,had
Inca we,full  room,wanted
more language we,what,bed
Breakfast,fresh  eggs,included
when  we,back Inca Trail,loved
reasonable  hotel,reasonable  price,are
When  we,late night bus,had
we,Netflix,sat on
big  we,bus,set
They,then  taxi,ordered
Literally  guys,us,do enough
way  you,it,breakfast with own
just  it,patio,is
hire I,Machu,looked after
longer  rooms,amazing  views,were huge
so  we,so  noise,was
staff,top,put
one Machu staff,prior  arrival,left
when delivery dinner,night delivery behalf,helped
morning  they,us,was great
most  we,hotel,loved
